rew	sig1	sig2	sig3	planta
-0.9622446745	-0.0364803862	1.5698973382	-0.5028666478	304
-1.2864211751	-0.025724665	1.1496219555	-0.4971830658	304
-0.4576907303	0.4653192566	0.9330798679	-0.9996255808	304
-1.8546354529	0.5218119243	1.4297880456	-1.3949810927	304
0.4419824137	1.2811457586	1.5877456557	-0.5103523412	304
-1.8546354529	0.8623762654	2.1266598548	0.2362069538	304
-0.7440736133	1.1053809378	0.025650407	0.1587161645	305
-0.1146554652	0.6516523942	-0.3148849923	-0.3804616979	305
-0.3201669947	0.5160713362	-0.0321991398	0.2046700047	305
0.601596926	1.358193737	0.5288679711	0.351888642	305
-0.7151551375	-0.1216137348	0.6236215391	0.1915007292	305
0.3133828587	1.2872986521	-0.6193037962	-0.3645199434	305
0.2301804737	1.0754474573	0.0574624082	-0.0747958831	305
-1.8477966803	0.6143050487	0.3285993494	0.1005634165	305
0.2528361919	1.8501963595	0.0986710237	-0.6665122235	305
0.0100832029	1.4461407116	0.0618194975	0.7747610085	305
0.5026109144	1.0416654792	0.9829501669	1.2211994468	306
-0.0230915779	1.4469086664	-0.5390913575	1.0486126262	306
0.3074657427	1.5487967328	0.3184153095	1.3623879422	306
-0.0368119242	0.8035418104	1.1391229452	3.7799896701	306
0.4901695599	1.5000174604	0.4435635123	2.208479235	306
-0.066702832	0.9839385287	-0.6293828461	0.5052067332	306
2.7041340341	2.5430472322	-0.2745162977	1.3198997008	306
1.6328153097	1.7587304071	1.0623226848	-0.0253764441	306
3.0206898622	2.5141837573	1.2378136421	1.7373657331	306
1.9411547396	0.8540528916	0.7461974845	0.744194427	306
1.0282190124	1.9509775295	0.8854143611	0.953170035	307
1.7319795105	-0.4052931091	1.1687826494	0.3590277755	307
1.9592620516	-0.2543567527	1.2149257997	0.5655774645	307
1.3268532269	1.5308264896	1.6852289664	0.2110467065	307
-0.6183654853	0.7772455403	1.0715618139	0.2408508562	307
1.9224169456	0.6046594797	0.8300845768	0.9542790267	307
1.6830650694	1.9786206551	1.0179118712	0.2707243179	307
2.4730924998	1.7858526664	1.3767155485	0.160241028	307
2.1414150058	2.1458248679	1.4429643036	1.1674133533	307
0.6630543311	1.4893618015	1.9250263619	0.8460137199	307
0.3782831658	-0.1187962288	0.422827967	-0.5560289335	308
1.535022524	0.3155524321	0.4630391764	-0.5551278778	308
-0.0784762484	-0.1258520594	0.6656175803	0.7317875832	308
1.2667608882	0.157937617	0.117306767	1.0655940604	308
2.1575533269	0.1892738079	0.7358559593	0.9989852513	308
NA	NA	-0.3259614482	-1.09499886	308
NA	NA	-0.4078012336	-0.4987079292	308
NA	NA	0.4357942447	-0.5976161192	308
NA	NA	0.1759437396	-0.9249072705	308
-0.5225932631	-0.0706804576	0.2414050688	0.3749695301	308
-0.2707687031	-0.341010558	2.2542228301	-1.9569625953	309
-1.7027503233	1.1490691214	1.2775523962	0.1941345843	309
0.279928876	-0.4494864842	2.45281161	-1.5904408655	309
-0.083863898	-0.6553095969	1.8725313103	-0.4056912572	309
0.8042763388	-0.5148531874	2.4822088389	-0.8210779303	309
0.5016616949	-0.7063846553	1.9899627406	-1.8499449041	309
-0.7691417197	-0.6488666425	0.8941285397	-1.7315600489	309
0.3292429429	-0.8603126975	1.516772346	-1.0157059593	309
-0.037025434	-0.3043442894	2.0745847637	-0.7528056338	309
0.7637259942	-0.5512851666	2.2671891078	-1.0509857551	309
-0.218414883	0.9961371099	1.1303562716	0.8644507056	310
1.5934597927	2.1363480665	0.7756997034	0.872005711	310
2.1628988944	1.9068511827	1.7546799196	1.2131592576	310
1.4678405676	0.6192569055	1.6141506666	2.0583494947	310
0.3339450164	0.869234329	1.3368718044	1.5706704305	310
0.368885137	1.2735814244	0.1303255398	0.3590277755	310
-0.6005138633	1.9579568273	0.7020491461	0.8593909313	310
-0.2267924989	2.2495652532	1.6849139961	0.6862496149	310
0.9840081158	0.5500633084	1.3779754297	1.4493744723	310
-1.7107103779	1.0890651641	1.4975066621	1.7273154966	310
1.4542384308	2.2318913731	0.4884992764	0.5037511817	311
0.3206851168	1.0846805974	0.8733404993	1.0116000309	311
1.0537386127	1.232111983	0.7320763156	2.3837692226	311
0.8593467507	1.9165795063	1.974109235	2.24618495	311
0.9386670056	2.3724789081	1.7663863161	2.5519893887	311
-0.5141787442	-0.8030678036	-1.0025176725	0.4417862751	311
0.1646039663	1.2851312113	0.4322245812	0.183391228	311
0.9342369839	1.0761051697	0.4950611579	1.3648831733	311
-0.5097629599	-0.0955125915	0.953552938	0.5351495069	311
0.8658466608	1.644309688	1.0911949632	2.1230175684	311
0.2369649108	-0.0804960302	-0.4484324035	-1.9296536767	312
0.6226964502	-0.2263207076	0.5388420309	-0.4368123345	312
0.5587586983	-0.5746629715	0.5849851812	0.305310994	312
0.287339204	-0.6311306115	0.6216267271	0.2767544599	312
-0.4235979944	-0.3424848553	0.801737249	0.4754718955	312
1.4681442711	-1.6080092945	-1.2431024937	-1.2259984949	313
-0.9361793556	-1.4268276917	-1.2013164327	-1.2322365728	313
0.8048520295	-1.1526886746	-0.7329555828	-0.7325665367	313
0.7895665787	-0.9343396249	-0.7135324137	-0.8677942022	313
0.3331884205	-1.2244629715	-1.0571650211	-0.4752804813	313
0.0229746818	-0.7967657565	-1.1489263712	-1.2796459644	313
-1.0559803071	-0.9912934992	-0.4470150371	-1.9611906258	313
-0.5492016297	-1.0258227555	-1.1589529261	-1.5781033337	313
0.7475554661	-0.9783353293	-0.9335916698	-1.1941842978	313
-0.6187179055	-1.0623694516	-0.51116399	-1.3931096694	313
1.8933204926	0.9931633664	0.413746323	-0.519640146	314
0.9692683568	-0.869216702	-0.9503375912	-0.6925735265	314
1.3618615012	-0.2554260162	-0.9680809187	0.0684719716	314
1.5416822852	-0.5262509994	-0.405228976	-0.3243189973	314
0.4049410595	-1.1812649538	-0.7534286529	0.7402436443	314
0.0102006001	-0.7950940944	-1.517441633	-0.6345594025	314
-0.1129348649	-0.6450651799	-1.9382944612	-0.6535508839	314
1.730612129	-1.2864897899	-1.0601572391	-1.2926766159	315
-0.1972577888	-1.2000424622	-1.0349071193	-1.7910297244	315
-0.6072629256	-1.0939874061	-0.5249701886	-1.6100561547	315
-0.8481744754	-1.5008748313	-1.0987411019	-1.2296720296	315
0.4763229279	-0.8818772955	-0.3973022233	-0.8948258729	315
-1.1150673343	-1.525682398	-1.6366054	-2.1224102824	315
-0.4935415535	-1.0219479662	-1.7110958782	-2.2500829424	315
-0.1143431594	-1.2584323238	-1.1386373411	-2.0813082805	315
-1.0446027626	-1.2147753398	-1.1346477172	-2.0708421721	315
-0.9383173843	-1.6599032493	-0.8620409145	-1.4850173497	315
1.2287837109	0.7175720753	-0.0635386856	0.9175436793	316
0.8722123063	1.0339729899	-0.0521472594	0.1087422297	316
1.319305829	0.7894540318	0.5581602098	0.9276632278	316
1.1522083758	0.4272371418	0.9055199659	1.4111835734	316
-1.0209822798	0.2762549562	0.1250760346	0.444905314	316
1.3359118875	-0.1118274079	0.0145739511	0.4609163805	316
0.9373664883	0.5957637383	-0.2121521765	-0.9906150239	316
1.1100694913	0.5614769466	-0.0159256738	0.0001303631	316
-1.104649574	0.1787080328	1.0001160488	0.0616100859	316
-1.0796215919	-0.1716789124	0.6070331028	0.3909805965	316
1.589526759	-0.5706805862	-0.0468452592	-0.3922447339	317
-1.768218237	-1.1286061373	-0.3274313097	-0.2139050193	317
-1.4832491819	-1.4868969686	-1.5874700318	-0.9888822245	317
0.2466427856	-0.9828238354	-0.1376616983	-0.0992630107	317
0.7712245757	-0.9194520512	0.4412537301	0.2170768484	317
1.1253980622	-0.3200945892	-0.5984107657	-0.574881791	317
0.2604348654	-0.7991453879	-0.8525393102	-0.9782774922	317
0.9832912753	-0.9616999069	-0.135246926	-0.1268491772	317
-1.700452219	0.8789957691	-0.3062758039	0.7467589701	318
0.8520339906	0.9764332076	1.2717779405	0.1263474716	318
-1.700452219	0.5588036826	0.3223524383	1.6585580163	318
0.133715564	1.4957530176	1.4386597093	1.1431541617	318
-1.700452219	0.9102778177	0.1870726905	1.8385612183	318
-1.700452219	-0.3573539588	0.647979243	0.186371643	318
1.3800287315	0.0335298873	0.4316996307	0.1616965795	318
-1.700452219	1.4209029192	0.7524968906	0.9074241308	318
-1.4686870836	1.6759792006	0.8059368531	0.9856773519	318
-0.2285133868	1.4066322562	0.6333856187	1.5182012646	318
0.9358279748	1.7925976127	-0.1062171625	0.3001819078	319
0.9040318967	1.4365766999	0.5299703672	0.7843953731	319
0.6273899188	0.5036688881	0.5753260917	0.6654560221	319
1.1432357563	0.7818847368	1.5905803885	1.9943052287	319
-0.5319335886	1.0603515692	0.784413882	1.9166065034	319
0.5534350813	0.8586858639	0.1686994225	0.0952263943	319
1.8584867632	2.0075654743	0.6287135591	0.5700134309	319
0.984571136	1.688815697	0.7978001201	-0.1121550383	319
0.2805835476	0.7143700204	-0.1863246111	0.4356868212	319
0.3028925866	0.5553716076	0.037881754	1.4465326812	319
-1.3161993724	0.31004473	0.0808752012	-0.8121366853	320
-1.1425777612	-0.0547791509	0.6916026309	-0.9769605646	320
-0.8735109999	-0.2616475309	1.1990722941	0.0608476542	320
0.0463534954	0.6098659693	1.3322522399	0.0840671662	320
-0.8722414081	0.7054851315	1.3961912126	-0.9545727963	320
-0.3567191112	0.5072592522	-0.4758348204	-1.6526137081	320
-0.4445377964	0.3155612208	-1.0636744075	-1.5651419942	320
-0.8068484225	-0.0779484091	0.619421935	-1.0605508078	320
0.1418368728	0.7484218129	0.84352331	-0.673582045	320
-0.5671746139	1.0423587954	1.4196565007	0.386683254	320
-0.713907832	-0.4068212608	-0.2775085156	0.9165039997	321
-0.2926961924	-0.1456803103	-0.4532619482	1.3382673745	321
-0.5919575659	-0.2690729709	0.335266221	1.1111320287	321
-0.5605652932	-0.2920858122	-0.0719903889	1.5876518647	321
-0.4836340037	-0.0690804258	-0.0345614171	1.2105254025	321
-0.6581625227	-0.4632575133	-0.7245563746	0.4764422631	321
-0.6617411676	-0.6819890866	-1.1769062337	0.8383894026	321
-0.4631262972	-1.2546800676	-0.3356205377	0.549497086	321
-0.7962638665	0.285660141	-0.4013968373	0.0839978542	322
-1.0210714712	-0.3954564768	-1.3795371326	0.2766851479	322
-1.0566578086	0.4351451715	-0.4020792729	0.0301424487	322
0.1028204794	1.3696689679	0.0597721905	0.7735133929	322
0.3616844871	0.0612387106	0.1800383536	0.9208706542	322
0.2570636737	1.3549337379	-0.4751523847	-1.4387169497	322
0.1853646159	0.377464501	-1.6244265481	0.0046356415	322
1.2315900962	1.6269538388	-0.2875350705	-0.3108724739	322
0.0519977547	0.4821621882	-0.7164721366	0.4552327984	322
-0.5676135805	1.0369629852	0.3855564804	-0.6065573641	322
0.1662401982	0.5550406398	-1.1009458941	0.2545053155	323
-0.394923371	-0.5121757055	-0.7343729492	1.1080823017	323
-0.57369163	-0.6580631435	-1.2859909508	0.7230542743	323
-0.9873801223	-0.4908313786	-0.9308094321	1.505309237	323
-0.1376345687	-1.183071417	-1.2447298403	0.3963176187	323
-0.58461288	-0.2092105995	-1.8347742196	0.2817449221	323
-0.2307483869	0.8265073214	-0.6311676779	-0.4695275873	323
-0.9540281847	-0.3672207864	-1.4903016914	0.2140964334	323
-0.2447977004	-0.2948987467	-1.3579091714	0.3981890421	323
-0.1318817978	0.4451069947	-0.715842196	0.7399663964	323
0.5242557301	-0.0048811209	0.5588426455	0.8995918775	324
0.5806613002	0.3952025443	0.3140582202	0.08455235	324
-0.4227658818	-0.5440319318	1.0271510003	1.1245092401	324
0.023721277	0.2691212947	0.1221363117	1.1600662838	324
-0.1885382974	-0.293876344	-0.4322114325	-0.5714855042	324
-0.7629518209	-0.4403808669	-0.2347775437	-0.9470871029	324
1.0989373923	-0.4285755066	0.4932763261	0.0123292709	324
0.2666321254	0.6505524908	0.1063353012	-0.3548855787	324
0.6999910773	0.1694840532	0.2398302173	-0.1854177971	324
0.5706005002	0.5392279415	0.2208795037	0.177638334	324
NA	-1.1426916453	-1.4709835124	-0.6701164462	325
0.0672090291	-0.8703488275	-1.5852127446	0.3475219875	325
-1.8574331327	-1.1522328508	-1.6372878357	-0.493648155	325
-1.3369572003	-1.6898044306	-1.6433772617	-0.3655596231	325
-1.1875838806	-1.2489840173	-1.1539134011	1.7109578702	325
0.8638030463	-0.4225817474	-1.3709279442	0.1199707698	325
0.6002563282	-0.5895528356	-1.2911354658	-0.8645365393	325
-1.6850622488	-0.8140222394	-1.3283019623	-0.5572765491	325
-1.8574331327	-0.992459513	-1.089659458	-0.818859947	325
-1.8574331327	-1.0764890736	-1.562219912	-0.292989984	325
1.1424476174	-0.6974141966	-0.2546206732	0.5135934823	326
0.8311404215	-0.9526894236	-0.6492784707	0.9193457907	326
0.4713955147	-0.9504747743	0.7114457603	0.532169092	326
0.1827166456	-1.1149493859	0.3005144969	0.9399314476	326
1.7265364667	-0.9413208912	0.8600067562	0.709122567	326
0.755446211	-0.7929393973	0.3721702422	0.6172148867	326
1.3327256451	-0.3851486647	0.0913217165	-0.0564282095	326
1.8781095063	-0.9766076346	0.2088581369	0.2847946491	326
0.8518415962	-0.5795948615	0.1400896194	-0.1111846706	326
0.2962096717	-1.4509854855	-0.2804482385	0.4197450666	326
-0.0330742193	-0.6918652505	-0.7961071298	-0.1843781174	327
0.0198028188	-1.6589584048	-1.5662095359	-0.0183066226	327
0.4229398617	-1.5118632735	-1.1707643127	0.5983620292	327
2.4631298619	-0.9310995919	-0.7853981393	0.2888147437	327
0.0082754242	-0.7374024963	-0.4641809189	0.5217722955	327
-0.5331481578	-1.0744272527	-1.1856204122	-0.996229294	327
-0.9387621968	-1.425784776	-0.6921669278	-0.1521480485	327
0.2211079725	-1.3555951724	-0.9783699488	-0.3528755314	327
0.3016275176	-1.1822096536	-0.4333138286	-0.1513856168	327
-0.1222142088	-1.6746834967	0.2056034437	0.3243024755	327
0.738127038	-0.8199859577	1.5872207052	-0.0269013076	328
-0.0032167912	-0.4623886048	2.1690758565	-0.7105253283	328
0.2122199747	-0.4999912412	-0.3933125993	-0.4165039255	328
-0.4804575396	-0.6900520935	-0.3678000043	0.6846554395	328
1.3409969662	-0.5172102708	2.2740659595	1.3898354847	328
1.6277997333	-0.5270763093	1.8861275287	-0.8562884141	328
1.3640813699	-0.7231870904	-0.9194180059	-0.1185317401	328
1.874524272	-0.2777261507	-0.6839252047	-0.3663220548	328
1.6275976779	-0.4831445159	-0.466280721	-0.4172663573	328
1.6595299733	-0.0298652061	2.0397805445	0.1444378974	328
-0.150825682	-1.2290870794	-0.5292747828	-1.0789184815	329
0.9198819613	0.1951061362	-0.4675930973	-0.0165045112	329
-0.5425407075	-0.9615186948	-1.6965547489	-1.1602214295	329
-1.7278062644	-0.4739922104	-0.6762609271	-1.4606195341	329
-0.5370421259	-0.6187388312	0.1338427082	-0.6739286049	329
-1.4362778423	-1.9493434225	-1.9774557697	-2.7522482096	329
-1.8092508721	-1.5359641046	-1.7738274648	-2.6236744938	329
-1.8092508721	-1.1845278257	-1.9067449353	-2.4025692899	329
-1.5206956082	-0.8798503809	-0.4284842839	-0.5840309719	329
-1.8092508721	NA	NA	NA	329
1.1620716179	1.6650049457	-0.9862967015	0.7327579509	330
1.2080472281	0.8922034057	-1.3974904403	0.6956067317	330
1.2810157702	0.5731389919	-1.3868864398	0.6682978131	330
-0.1248196553	1.4119928239	-0.3408700428	-0.2218065845	330
1.7108355302	1.5243741724	-0.5552073383	0.3823859115	330
0.0282253066	0.5577302148	-1.7725675835	0.1476262483	330
-0.0774073961	0.742635541	-1.9395018474	0.209591155	330
-0.240035654	0.9282599442	-1.3488800225	-0.8590608932	330
1.2440624403	0.8944633593	-2.3338971696	0.7071818317	330
0.1994410576	1.0153708981	-1.5382821685	-0.2060727659	330
0.9865259453	-0.0785178092	0.195734374	-1.1478145858	331
2.1523413045	0.4311153499	0.8656237267	-0.859754013	331
-0.3061385456	-0.627373368	0.2763142781	-0.6463424384	331
-0.1643813575	-0.2951011496	0.4169485212	-0.7450426924	331
-0.3200967666	-0.1967871076	0.7297140383	-0.3227248218	331
0.9582557117	0.6746210839	0.6150123507	-1.696349565	331
-0.5776799981	0.08387669	0.1779910466	-1.1300014079	331
-0.541161361	0.0948864858	-0.0391809816	-0.9557510999	331
0.6836775074	0.2971054833	0.6416273418	-0.8837359567	331
2.6213287387	0.9492638981	0.6320732424	-0.8250980249	331
0.7515967172	0.4371200305	-1.0955389038	-1.2122747236	332
-0.6705530725	-0.1541796558	1.1857910461	-0.3991066195	332
-0.272233422	0.6434971298	0.4604144239	-0.6197959515	332
-0.1609767522	-0.1269176965	1.1846361549	-0.1753675605	332
0.5769047873	0.3126915659	1.1779167883	-0.2247869995	332
0.7144996751	0.9472848706	-0.7706995249	-0.3646585674	332
1.0926057474	0.9445993642	0.2655002975	-0.3399835039	332
0.1020345528	0.975116483	0.5635147051	0.0819878069	332
-0.2972358618	0.9446807434	-0.0677382897	0.1926790328	332
-0.9266665746	0.1786603821	1.1734547089	-0.2352531079	332
-0.2743881684	1.6253501995	1.0760763883	-0.3067830673	333
-0.0981412219	1.279654655	1.4428593135	-0.3711045811	333
-0.5867068968	1.1009154796	0.281301308	0.2016895897	333
-0.9553369982	1.3613354626	-0.1793427693	0.6972702191	333
-1.2273876936	0.6499735166	-0.1570323724	0.6306614101	333
-0.4072001159	1.6007860443	0.4769503651	-0.6450255109	333
-0.5705591942	1.3669273024	0.7928130902	-0.8576053417	333
-0.0400118493	0.7515253271	-0.2365623754	0.6911707652	333
0.2129363552	2.2443469288	1.1624832432	0.3870298139	333
-0.7939679646	1.3659287595	0.4031423226	0.0836512943	333
0.1509704108	1.1820690945	0.7996374469	-0.5887441862	334
1.1982223318	1.4391203265	1.1944527296	-0.6861968247	334
0.3495723079	1.7519873308	1.5072182466	-0.2229848881	334
0.3403187963	1.5092167228	1.1814864518	-0.9677420718	334
0.7778363547	1.1914028355	2.0141629594	-0.2127960276	334
0.1724899249	0.8775091197	0.6538586888	-1.5144056276	334
0.5029504856	1.464694777	0.803784556	-1.4964538258	334
-0.4730638769	1.0598904225	0.7323912859	-1.4192402844	334
-0.434076689	0.7727845438	0.8403736069	-1.0090520096	334
0.8738885523	1.2190307097	1.3248504376	-0.7158623505	334
-0.1050246764	0.2633021932	-0.2103148497	0.848855511	335
-0.1485548013	0.7079504411	-0.3586133703	0.5892821603	335
-0.6761409035	0.007681709	0.3480750136	1.4424432746	335
-0.2334057679	0.3327815924	0.2257090484	1.3553874326	335
-1.0103961569	0.0333632064	0.4288648979	1.54294564	335
0.4000768283	0.9366949396	-0.5075418315	-0.9144411621	335
1.0271605057	0.1061274484	0.3165254876	0.7341441904	335
-0.6858510769	0.2403082941	-0.3542037859	0.256099491	335
0.1718809251	0.9270394928	-0.3661726577	0.1204559537	335
1.1786043802	0.2900786378	-0.2532558018	0.4645206032	335
-1.0458988479	0.0216476528	-1.5152368409	-0.5278189592	336
-0.5884351662	-0.6080622056	-0.7498064944	-0.2859894744	336
2.1445739793	0.1743990543	-0.1083169645	0.3853663265	336
-0.5836932484	0.155792219	0.437106621	0.4544010547	336
1.5098567723	0.2441503319	-0.0371861697	2.0498934336	336
0.9470955084	0.8046934211	-0.6662343723	-0.7154464786	336
-0.501852141	-0.3135676351	-0.7391499989	-0.9117379951	336
0.8779626386	1.146922804	0.488079316	0.009210232	336
-0.2811497963	0.3572526131	-1.06110215	0.3264511468	336
-0.4951587585	0.6023562651	-0.5897490822	-0.0559430256	336
-0.5663391657	-1.2983087974	-1.9831777303	-0.9718314784	337
0.2375696007	-1.5226345212	-1.3325540615	-0.2705329038	337
-0.1262219435	-0.6501654058	-1.1351201727	-0.130245464	337
0.2301576056	-1.6778456443	-1.6855832831	0.3903567888	337
-0.6297916003	-0.8306668125	-0.4827641672	-0.2276287905	337
-0.5386092171	-1.9482782019	-2.3096444558	-0.9593553227	337
-0.9547201507	-2.1152671105	-2.797638455	-1.9872519289	337
-0.6156067318	NA	-2.899583845	-0.9500675179	337
-0.7386155558	-0.2054398867	-0.7049232253	-0.7411612218	337
-0.8941188603	-1.7093443725	-2.4369449558	-1.3661473107	337
0.3236383718	NA	0.0330522093	0.5300204207	338
0.3518475661	NA	-0.5309021294	0.9732705081	338
-0.4175125484	NA	-0.7206192457	0.6908242053	338
-0.0114425829	NA	-0.4049665008	1.8339866279	338
0.0726655876	NA	-0.2347250486	1.7720217212	338
-0.0544199268	NA	-0.9517549576	-0.4930936592	338
-0.567042287	NA	-0.7602530096	0.1110295249	338
-0.1000374197	NA	-0.2134645528	0.38093036	338
-0.085217506	NA	1.0497763675	0.7042014167	338
-0.721173869	NA	0.2021387703	0.839914266	338
0.4309975185	-0.6845379445	-0.3479043798	0.0181514769	339
0.4116113443	-0.6873555467	-0.0849566666	-0.0894900221	339
-0.620241785	-0.6740261201	0.2903829519	-0.2290150301	339
0.4533197845	-0.9251178403	0.2723246542	0.8512121181	339
0.6264362638	-1.3014844961	-0.1702611253	-0.1678818671	339
0.4847493387	-0.5502683541	-0.2566154851	-0.5743966072	339
-0.4106160643	-0.2749019063	0.0324747637	-0.5611580197	339
0.4696684373	-0.4344215489	0.0846548449	-0.1917944989	339
-0.7545950577	0.3482216972	0.4439309777	0.1669642897	339
0.0077541064	-0.5189496201	0.4991557719	-0.5531871425	339
0.0552329769	-0.3974113885	-0.545705734	-1.2640507698	340
-0.809778415	-1.5644821267	-0.9692883048	-2.803400448	340
0.5668579904	-0.2886029123	-0.3729445193	-0.601081718	340
-0.1804902791	-0.8153008252	-0.0016995148	-0.8083245267	340
0.9820397463	-0.1477258822	1.3176061205	-0.1154820131	340
-0.6259414338	-1.0175697941	-1.3405333093	-1.6074222996	340
0.0460312078	-0.1874060378	0.1999339781	-0.5310073101	340
-0.68780965	-0.9994766413	0.0045473963	-0.6722651175	340
-0.2751423653	-1.0184432568	-1.5007482066	-1.1929366823	340
1.0016521852	-0.6303763267	-0.313572616	-1.2610010429	340
1.1661768555	1.0080730429	-0.8195199228	0.2757840922	341
1.3608869733	0.5637508838	-0.3878006189	0.7822467019	341
-0.0669316329	0.5673572446	-0.6293303511	0.9110283536	341
0.9594059855	0.5178853702	-0.3086380812	1.139342003	341
-0.8136426512	0.0716213241	0.2055509486	1.6793516091	341
0.8979660808	0.4347541274	-0.9357439669	0.3135591192	341
1.1173310175	1.0802002611	-0.8182075465	0.5684885675	341
