Farm	Sex	Length	infec
MO	f	158	1
MO	f	158	0
MO	f	158	0
MO	f	158	0
MO	f	158	0
MO	f	158	0
MO	f	158	0
MO	f	157.2	1
MO	f	157	1
MO	f	157	1
MO	f	157	0
MO	f	156.5	1
MO	f	156	0
MO	f	155	0
MO	f	155	0
MO	f	153	1
MO	f	153	0
MO	f	153	0
MO	f	152	1
MO	f	152	1
MO	f	152	1
MO	f	152	0
MO	f	152	0
MO	f	152	0
MO	f	152	0
MO	f	152	0
MO	f	152	0
MO	f	152	0
MO	f	152	0
MO	f	151	0
MO	f	151	0
MO	f	150.5	0
MO	f	150	1
MO	f	150	0
MO	f	150	0
MO	f	149	0
MO	f	148	1
MO	f	148	0
MO	f	148	0
MO	f	147	1
MO	f	147	0
MO	f	147	0
MO	f	145	0
MO	f	143	0
MO	f	143	0
MO	f	141.5	0
MO	f	139	0
MO	f	138	0
MO	f	136	0
MO	f	135	0
MO	f	135	0
MO	f	132	0
MO	f	132	0
MO	f	131	1
MO	f	131	0
MO	f	127	0
MO	f	125	0
MO	f	124	0
MO	f	121	0
MO	f	116	0
MO	f	91.6	0
MO	f	85	0
MO	m	214	0
MO	m	209	0
MO	m	208	1
MO	m	205	1
MO	m	202	1
MO	m	202	0
MO	m	201	1
MO	m	200	1
MO	m	199	1
MO	m	198	1
MO	m	198	1
MO	m	197	1
MO	m	197	1
MO	m	197	1
MO	m	197	1
MO	m	197	0
MO	m	196	1
MO	m	196	1
MO	m	195	0
MO	m	194	1
MO	m	191	0
MO	m	188.5	1
MO	m	188	0
MO	m	187	1
MO	m	187	1
MO	m	187	0
MO	m	186	1
MO	m	186	1
MO	m	185	0
MO	m	184	0
MO	m	183	0
MO	m	182	1
MO	m	182	1
MO	m	182	0
MO	m	179	1
MO	m	178	1
MO	m	177	0
MO	m	176	1
MO	m	174	1
MO	m	174	1
MO	m	174	0
MO	m	174	0
MO	m	172	1
MO	m	171	0
MO	m	171	0
MO	m	170	1
MO	m	170	0
MO	m	170	0
MO	m	168	1
MO	m	167	0
MO	m	164	0
MO	m	164	0
MO	m	163	0
MO	m	162	1
MO	m	160	0
MO	m	158	1
MO	m	158	1
MO	m	158	0
MO	m	155	0
MO	m	155	0
MO	m	152	0
MO	m	152	0
MO	m	149	0
MO	m	148	1
MO	m	148	0
MO	m	147	0
MO	m	145	0
MO	m	144	0
MO	m	142.3	0
MO	m	142	1
MO	m	142	0
MO	m	139	0
MO	m	138	0
MO	m	137	0
MO	m	136	0
MO	m	136	0
MO	m	136	0
MO	m	132	1
MO	m	132	0
MO	m	130	0
MO	m	126	0
MO	m	126	0
MO	m	75	0
NC	f	166	1
NC	f	164	1
NC	f	159	0
NC	f	158	1
NC	f	153	0
NC	f	153	0
NC	f	150	0
NC	f	143	1
NC	f	143	0
NC	m	190.5	1
NC	m	187.5	0
NC	m	182	0
NC	m	178.6	1
NC	m	177	0
NC	m	177	0
NC	m	175	0
NC	m	174	0
NC	m	173	1
NC	m	172	1
NC	m	172	0
NC	m	171	1
NC	m	170	1
NC	m	169.4	1
NC	m	168.2	0
NC	m	168	0
NC	m	163	1
NC	m	160	1
NV	f	169	1
NV	f	166	1
NV	f	165	1
NV	f	164	1
NV	f	162.5	0
NV	f	159	1
NV	f	158	0
NV	f	154	0
NV	f	153	1
NV	f	152	0
NV	f	151	0
NV	f	150.5	0
NV	f	149	1
NV	f	148.7	1
NV	f	148	1
NV	f	147	0
NV	f	147	0
NV	f	138	1
NV	f	137.8	1
NV	f	132	0
PN	f	173.5	1
PN	f	168.1	1
PN	f	165.5	1
PN	f	165	1
PN	f	163	1
PN	f	161	1
PN	f	160	1
PN	f	155	1
PN	f	152.8	1
PN	f	152	1
PN	f	149.8	1
PN	f	149.6	1
PN	f	149	1
PN	f	148	1
PN	f	146.7	0
PN	f	130	0
PN	f	126	0
PN	m	184	1
PN	m	184	1
PN	m	183	1
PN	m	179	1
PN	m	178	1
PN	m	178	1
PN	m	177	1
PN	m	176	1
PN	m	176	1
PN	m	175	1
PN	m	175	1
PN	m	173	1
PN	m	172	1
PN	m	172	1
PN	m	171	1
PN	m	169	1
PN	m	166	1
PN	m	166	1
PN	m	166	1
PN	m	162	1
QM	f	168	1
QM	f	165	1
QM	f	165	0
QM	f	162	1
QM	f	162	1
QM	f	161	1
QM	f	160	0
QM	f	158.6	1
QM	f	157.5	1
QM	f	157	1
QM	f	157	1
QM	f	157	1
QM	f	155	1
QM	f	154	1
QM	f	154	1
QM	f	153	1
QM	f	152	1
QM	f	152	1
QM	f	151	1
QM	f	149.7	1
QM	f	149.5	1
QM	f	144	0
QM	f	143	1
QM	f	137	1
QM	f	136	0
QM	f	135	0
QM	f	131	0
QM	f	129	1
QM	f	117	1
QM	f	115	0
QM	f	114	1
QM	f	108	1
QM	f	106	0
QM	m	179	1
QM	m	177	1
QM	m	175.5	0
QM	m	175	1
QM	m	173.5	1
QM	m	168.5	1
QM	m	162	1
QM	m	161.5	1
QM	m	160	1
QM	m	160	1
QM	m	160	1
QM	m	157	1
QM	m	157	0
QM	m	155.5	1
QM	m	152.5	1
QM	m	148	1
QM	m	148	1
QM	m	145	0
QM	m	144.5	1
QM	m	144.2	1
QM	m	143	1
QM	m	142.1	1
QM	m	138	1
QM	m	130	1
QM	m	120	1
QM	m	120	1
QM	m	112	0
RF	f	163	1
RF	f	163	1
RF	f	162.4	1
RF	f	157	1
RF	f	150	1
RF	f	141	1
RF	f	118	0
RF	f	114	0
RF	m	181	1
RF	m	180	1
RF	m	177	1
RF	m	177	1
RF	m	174	1
RF	m	172	1
RF	m	170	1
RF	m	168.5	1
RF	m	160	1
RF	m	160	1
RF	m	155	1
RF	m	155	1
RN	f	164.3	0
RN	f	163	1
RN	f	151	0
RN	f	150	0
RN	f	137	0
RN	f	128	0
RN	f	122	0
RN	m	191	0
RN	m	189	1
RN	m	178	0
RN	m	176	1
RN	m	174	0
RN	m	174	0
RN	m	173	1
RN	m	172	0
RN	m	169	1
RN	m	169	0
RN	m	166	0
RN	m	160	1
RN	m	159	1
RN	m	143	0
RN	m	134	0
RN	m	131	0
RO	f	170	0
RO	f	157.5	1
RO	f	156	1
RO	f	151	1
RO	f	144.9	1
RO	f	144	1
RO	f	137.9	1
RO	f	131	1
RO	m	186	1
RO	m	182	1
RO	m	179	1
RO	m	178	1
RO	m	177	1
RO	m	177	1
RO	m	175	1
RO	m	174	1
RO	m	174	1
RO	m	172.5	1
RO	m	172	1
RO	m	171	1
RO	m	169	1
RO	m	168	1
RO	m	163	1
RO	m	163	1
RO	m	162	1
RO	m	161	1
RO	m	160	1
RO	m	159	1
RO	m	158	1
RO	m	126.4	0
SAU	m	185.5	0
SAU	m	182	0
SAU	m	166	0
SE	f	175	1
SE	f	172	1
SE	f	167	1
SE	f	163.5	1
SE	f	162.5	1
SE	f	161	1
SE	f	159	0
SE	f	157.5	1
SE	f	151.5	1
SE	f	146.5	1
SE	f	105.5	0
SE	m	194	1
SE	m	191	0
SE	m	190	1
SE	m	189	1
SE	m	188	1
SE	m	181	1
SE	m	180	1
SE	m	179	1
SE	m	178	1
SE	m	177	1
SE	m	176	0
SE	m	174	1
SE	m	174	1
SE	m	121.5	0
SE	m	117	0
TI	m	200	1
TI	m	192	1
TI	m	188	1
TI	m	187	1
TI	m	185	1
TI	m	184	1
TI	m	184	1
TI	m	184	1
TI	m	183	0
TI	m	182	1
TI	m	182	1
TI	m	179	1
TI	m	179	1
TI	m	179	1
TI	m	178	1
TI	m	175	1
TI	m	175	1
TI	m	172	1
TI	m	170	1
TN	f	165	1
TN	f	163	1
TN	f	161	1
TN	f	160	1
TN	f	160	1
TN	f	157	1
TN	f	151	1
TN	f	149	1
TN	f	149	0
TN	f	148	1
TN	f	148	1
TN	f	146.5	1
TN	f	146	1
TN	f	138	1
TN	f	135	0
TN	f	124	0
TN	m	179	1
TN	m	176	1
TN	m	173	0
TN	m	158	1
TN	m	155	1
TN	m	154.5	0
TN	m	145	0
TN	m	144.9	1
TN	m	125	0
VISO	m	174.5	1
VISO	m	167	1
VISO	m	167	0
VISO	m	166.5	1
VISO	m	166.1	1
VISO	m	165	1
VISO	m	164.7	1
VISO	m	161	1
VISO	m	160	1
VISO	m	158	0
VISO	m	157	1
VISO	m	149	1
VISO	m	114.3	1
VY	f	165	1
VY	f	151	1
VY	f	146	1
VY	m	166	1
VY	m	148	0
VY	m	143	1
VY	m	140	1
