co2	month	year
323.36	9	1971
323.57	10	1971
324.8	11	1971
326.01	12	1971
326.77	1	1972
327.63	2	1972
327.75	3	1972
329.72	4	1972
330.07	5	1972
329.09	6	1972
328.05	7	1972
326.32	8	1972
324.93	9	1972
325.06	10	1972
326.5	11	1972
327.55	12	1972
328.54	1	1973
329.56	2	1973
330.3	3	1973
331.5	4	1973
332.48	5	1973
332.07	6	1973
330.87	7	1973
329.31	8	1973
327.51	9	1973
327.18	10	1973
328.16	11	1973
328.64	12	1973
329.35	1	1974
330.71	2	1974
331.48	3	1974
332.65	4	1974
333.19	5	1974
332.12	6	1974
330.99	7	1974
329.17	8	1974
327.41	9	1974
327.21	10	1974
328.34	11	1974
329.5	12	1974
330.68	1	1975
331.41	2	1975
331.85	3	1975
333.29	4	1975
333.91	5	1975
333.4	6	1975
331.74	7	1975
329.88	8	1975
328.57	9	1975
328.36	10	1975
329.33	11	1975
330.59	12	1975
331.66	1	1976
332.75	2	1976
333.46	3	1976
334.78	4	1976
334.78	5	1976
334.06	6	1976
332.95	7	1976
330.64	8	1976
328.96	9	1976
328.77	10	1976
330.18	11	1976
331.65	12	1976
332.69	1	1977
333.23	2	1977
334.97	3	1977
336.03	4	1977
336.82	5	1977
336.1	6	1977
334.79	7	1977
332.53	8	1977
331.19	9	1977
331.21	10	1977
332.35	11	1977
333.47	12	1977
335.1	1	1978
335.26	2	1978
336.61	3	1978
337.77	4	1978
338	5	1978
337.98	6	1978
336.48	7	1978
334.37	8	1978
332.33	9	1978
332.41	10	1978
333.76	11	1978
334.83	12	1978
336.21	1	1979
336.65	2	1979
338.13	3	1979
338.94	4	1979
339	5	1979
339.2	6	1979
337.6	7	1979
335.56	8	1979
333.93	9	1979
334.12	10	1979
335.26	11	1979
336.78	12	1979
337.8	1	1980
338.28	2	1980
340.04	3	1980
340.86	4	1980
341.47	5	1980
341.26	6	1980
339.34	7	1980
337.45	8	1980
336.1	9	1980
336.05	10	1980
337.21	11	1980
338.29	12	1980
339.36	1	1981
340.51	2	1981
341.57	3	1981
342.56	4	1981
343.01	5	1981
342.49	6	1981
340.68	7	1981
338.49	8	1981
336.92	9	1981
337.12	10	1981
338.59	11	1981
339.9	12	1981
340.92	1	1982
341.69	2	1982
342.85	3	1982
343.92	4	1982
344.67	5	1982
343.78	6	1982
342.23	7	1982
340.11	8	1982
338.32	9	1982
338.39	10	1982
339.48	11	1982
340.88	12	1982
341.64	1	1983
342.87	2	1983
343.59	3	1983
345.25	4	1983
345.96	5	1983
345.52	6	1983
344.15	7	1983
342.25	8	1983
340.17	9	1983
340.3	10	1983
341.53	11	1983
343.07	12	1983
344.05	1	1984
344.77	2	1984
345.46	3	1984
346.77	4	1984
347.55	5	1984
346.98	6	1984
345.55	7	1984
343.2	8	1984
341.35	9	1984
341.68	10	1984
343.06	11	1984
344.54	12	1984
345.25	1	1985
346.06	2	1985
347.66	3	1985
348.2	4	1985
348.92	5	1985
348.4	6	1985
346.66	7	1985
344.85	8	1985
343.2	9	1985
343.08	10	1985
344.4	11	1985
345.82	12	1985
346.54	1	1986
347.13	2	1986
348.05	3	1986
349.77	4	1986
350.53	5	1986
349.9	6	1986
348.11	7	1986
346.09	8	1986
345.01	9	1986
344.47	10	1986
345.86	11	1986
347.15	12	1986
348.38	1	1987
348.7	2	1987
349.72	3	1987
351.32	4	1987
352.14	5	1987
351.61	6	1987
349.91	7	1987
347.84	8	1987
346.52	9	1987
346.65	10	1987
347.96	11	1987
349.18	12	1987
350.38	1	1988
351.68	2	1988
352.24	3	1988
353.66	4	1988
354.18	5	1988
353.68	6	1988
352.58	7	1988
350.65	8	1988
349.03	9	1988
349.08	10	1988
350.15	11	1988
351.44	12	1988
352.89	1	1989
353.24	2	1989
353.8	3	1989
355.59	4	1989
355.89	5	1989
355.3	6	1989
353.98	7	1989
351.53	8	1989
350.02	9	1989
350.29	10	1989
351.44	11	1989
352.84	12	1989
353.79	1	1990
354.88	2	1990
355.65	3	1990
356.27	4	1990
357.29	5	1990
356.32	6	1990
354.88	7	1990
352.89	8	1990
351.28	9	1990
351.59	10	1990
353.05	11	1990
354.27	12	1990
354.87	1	1991
355.68	2	1991
357.06	3	1991
358.51	4	1991
359.09	5	1991
358.1	6	1991
356.12	7	1991
353.89	8	1991
352.3	9	1991
352.32	10	1991
353.79	11	1991
355.07	12	1991
356.17	1	1992
356.93	2	1992
357.82	3	1992
359	4	1992
359.55	5	1992
359.32	6	1992
356.85	7	1992
354.91	8	1992
352.93	9	1992
353.31	10	1992
354.27	11	1992
355.53	12	1992
356.86	1	1993
357.27	2	1993
358.36	3	1993
359.27	4	1993
360.19	5	1993
359.52	6	1993
357.42	7	1993
355.46	8	1993
354.1	9	1993
354.12	10	1993
355.4	11	1993
356.84	12	1993
358.22	1	1994
358.98	2	1994
359.91	3	1994
361.32	4	1994
361.68	5	1994
360.8	6	1994
359.39	7	1994
357.42	8	1994
355.63	9	1994
356.09	10	1994
357.56	11	1994
358.87	12	1994
359.87	1	1995
360.79	2	1995
361.77	3	1995
363.23	4	1995
363.77	5	1995
363.22	6	1995
361.7	7	1995
359.11	8	1995
358.11	9	1995
357.97	10	1995
359.4	11	1995
360.61	12	1995
362.04	1	1996
363.17	2	1996
364.17	3	1996
364.51	4	1996
365.16	5	1996
364.93	6	1996
363.53	7	1996
361.38	8	1996
359.6	9	1996
359.54	10	1996
360.84	11	1996
362.18	12	1996
363.04	1	1997
364.09	2	1997
364.47	3	1997
366.25	4	1997
366.69	5	1997
365.59	6	1997
364.34	7	1997
362.2	8	1997
360.31	9	1997
360.71	10	1997
362.44	11	1997
364.33	12	1997
365.18	1	1998
365.98	2	1998
367.13	3	1998
368.61	4	1998
369.49	5	1998
368.95	6	1998
367.74	7	1998
365.79	8	1998
364.01	9	1998
364.35	10	1998
365.52	11	1998
367.08	12	1998
368.12	1	1999
368.98	2	1999
369.6	3	1999
370.96	4	1999
370.77	5	1999
370.33	6	1999
369.28	7	1999
366.86	8	1999
364.94	9	1999
365.35	10	1999
366.68	11	1999
368.04	12	1999
369.25	1	2000
369.5	2	2000
370.56	3	2000
371.82	4	2000
371.51	5	2000
371.71	6	2000
369.85	7	2000
368.2	8	2000
366.91	9	2000
366.99	10	2000
368.33	11	2000
369.67	12	2000
370.52	1	2001
371.49	2	2001
372.53	3	2001
373.37	4	2001
373.82	5	2001
373.18	6	2001
371.57	7	2001
369.63	8	2001
368.16	9	2001
368.42	10	2001
369.69	11	2001
371.18	12	2001
372.45	1	2002
373.14	2	2002
373.93	3	2002
375	4	2002
375.65	5	2002
375.5	6	2002
374	7	2002
371.83	8	2002
370.66	9	2002
370.51	10	2002
372.2	11	2002
373.71	12	2002
374.87	1	2003
375.62	2	2003
376.48	3	2003
377.74	4	2003
378.5	5	2003
378.18	6	2003
376.72	7	2003
374.31	8	2003
373.2	9	2003
373.1	10	2003
374.64	11	2003
375.93	12	2003
377	1	2004
377.87	2	2004
378.73	3	2004
380.41	4	2004
380.63	5	2004
379.56	6	2004
377.61	7	2004
376.15	8	2004
374.11	9	2004
374.44	10	2004
375.93	11	2004
377.45	12	2004
378.47	1	2005
379.76	2	2005
381.14	3	2005
382.2	4	2005
382.47	5	2005
382.2	6	2005
380.78	7	2005
378.73	8	2005
376.66	9	2005
376.98	10	2005
378.29	11	2005
379.92	12	2005
381.35	1	2006
382.16	2	2006
382.66	3	2006
384.73	4	2006
384.98	5	2006
384.09	6	2006
382.38	7	2006
380.45	8	2006
378.92	9	2006
379.16	10	2006
380.18	11	2006
381.79	12	2006
382.93	1	2007
383.81	2	2007
384.56	3	2007
386.4	4	2007
386.58	5	2007
386.05	6	2007
384.49	7	2007
382	8	2007
380.9	9	2007
381.14	10	2007
382.42	11	2007
383.89	12	2007
385.44	1	2008
385.73	2	2008
385.97	3	2008
387.16	4	2008
388.5	5	2008
387.88	6	2008
386.42	7	2008
384.15	8	2008
383.09	9	2008
382.99	10	2008
384.13	11	2008
385.56	12	2008
386.94	1	2009
387.42	2	2009
388.77	3	2009
389.44	4	2009
390.19	5	2009
389.45	6	2009
387.78	7	2009
385.92	8	2009
384.79	9	2009
384.39	10	2009
386	11	2009
387.31	12	2009
388.5	1	2010
389.94	2	2010
391.09	3	2010
392.52	4	2010
393.04	5	2010
392.15	6	2010
390.22	7	2010
388.26	8	2010
386.83	9	2010
387.2	10	2010
388.65	11	2010
389.73	12	2010
391.25	1	2011
391.82	2	2011
392.49	3	2011
393.34	4	2011
394.21	5	2011
393.72	6	2011
392.42	7	2011
390.19	8	2011
389.04	9	2011
388.96	10	2011
390.24	11	2011
391.83	12	2011
393.12	1	2012
393.6	2	2012
394.45	3	2012
396.18	4	2012
396.78	5	2012
395.83	6	2012
394.3	7	2012
392.41	8	2012
391.06	9	2012
391.01	10	2012
392.81	11	2012
394.28	12	2012
395.51	1	2013
396.8	2	2013
397.32	3	2013
398.39	4	2013
399.76	5	2013
398.58	6	2013
397.23	7	2013

