point	x	y	Bor	Wet
84	1320	133.17	11.9522860933	-0.0470433
85	1262.52	0.13	5	-0.0568079
86	1360	7.93	6.4549722437	-0.069174
87	1491.13	120.66	7.6696498885	-0.0609552
88	1752.66	122.22	7.453559925	-0.055959
89	860.54	6078.51	20.7019667803	-0.0187194
90	434	6097.39	17.3205080757	-0.00839093
91	494.86	6087.03	13.6930639376	-0.0106403
92	903	6051.14	18.8982236505	-0.00724246
93	811.44	5982.18	19.1942973987	-0.012834
94	877.54	5899.99	13.8013111868	-0.0215538
95	845.42	5817.7	23.5702260396	-0.0206395
96	385	5799.83	14.90711985	-0.0201295
97	447	5793.12	16.3299316186	-0.0183195
98	836.01	5735.56	19.6116135138	-0.0175208
99	391.84	5762.95	17.6776695297	-0.0158139
100	394.68	5695.89	11.9522860933	-0.0225917
101	630.93	5667.45	13.8675049056	-0.0295753
102	813.34	5647.61	14.5643816251	-0.0281303
103	878.5	5684.45	18.2574185835	-0.0162075
104	922	7098.19	12.171612389	-0.017581
105	535.72	6909.5	12.9099444874	-0.0398151
106	814	7042.35	11.4208048144	-0.0491388
107	894.6	7047.17	12.5	-0.0488419
108	985.28	7045.29	17.5411603861	-0.0506519
109	983.3	6948.97	13.0664343766	-0.0548718
110	571.39	6878	13.2842232831	-0.0507534
111	535.71	6860.13	13.6082763488	-0.0347597
112	632.84	6791.95	13.130643286	-0.0480656
113	719.79	6820.39	18.2574185835	-0.0173344
114	949.37	6817.49	16.7332005307	-0.0174001
115	989	6799.57	8.6066296582	-0.0509086
116	522.26	6771.21	12.7342907993	-0.0498876
117	625.28	6695.59	11.0431526075	-0.0534669
118	722.58	6690.92	10.7417231106	-0.0530986
119	902.13	6665.37	9.8373875368	-0.0529368
120	357.73	5658.67	12.0761472885	-0.0218553
121	346.63	5544.59	10.2597835209	-0.0240574
122	606.37	5598.4	12.3091490979	-0.0271667
123	842.97	5321.03	12.2474487139	-0.0306642
124	341.05	5185.52	11.3855008511	-0.022788
125	530.33	5083.43	13.2287565553	-0.0366145
126	519.17	5160.46	12.9099444874	-0.0248981
127	820.69	5051.87	13.416407865	-0.0324385
128	1236.35	6075.36	15.8113883008	-0.0148911
129	1115.63	6058.72	20.4124145232	-0.0129252
130	972	6043.95	20.2259958739	-0.0107844
131	1458.15	6013.58	16.9030850946	-0.0190966
132	994.9	5960.52	16.4082530828	-0.0159174
133	1440	5918.38	14.90711985	-0.0196759
134	954.66	5865.35	21.6024689947	-0.0201226
135	1416.94	5816.25	17.3205080757	-0.0215607
136	999.83	5833	20.2919862478	-0.0164347
137	938.99	5724.02	14.90711985	-0.0164137
138	1410	5727.94	20	-0.0196492
139	1115.64	5668.16	20.9165006634	-0.050053
140	1190	5653.39	19.364916731	-0.0383521
141	1282.44	5645.51	18.7867287326	-0.0266209
142	1344.31	5635.78	20.9165006634	-0.0317275
143	1410.05	5616.12	19.364916731	-0.0242155
144	1003.75	5612.12	11.0096376513	-0.0251675
145	1185.32	5593.55	16.5144564769	-0.0114047
146	1250	5620.03	15.8113883008	-0.0221258
147	1306.04	5624.89	20.4124145232	-0.0266209
148	1359.03	5567.99	18.5404962177	-0.0104108
149	1424.78	5584.66	15.0755672289	-0.0166196
150	989.03	5935.98	22.360679775	-0.0166324
151	960.02	5578.46	11.1803398875	-0.0277727
152	1124.14	5546.43	12.4034734589	-0.0153964
153	1364.96	5519.88	11.9522860933	-0.0224479
154	937	5378.11	13.6082763488	-0.035475
155	1355.35	5436.74	17.3205080757	-0.0289163
156	1196.6	5322.74	12.9099444874	-0.0164738
157	952	5070.17	12.4034734589	-0.0277876
158	899	5146.89	15.0268576759	-0.0285123
159	1320	5041.43	14.90711985	-0.0127314
160	758	1651.74	16.9030850946	-0.0212428
161	486	1747.77	14.90711985	-0.0296041
162	569	1712.7	16.6666666667	-0.0147825
163	873	1688.97	13.6930639376	-0.0214218
164	735	1484.49	16.7705098312	-0.0228267
165	509	1585.75	16.7705098312	-0.0192494
166	491	1367.84	17.3205080757	-0.0154158
167	801.62	1323.48	14.1421356237	-0.0252432
168	1071.09	2249.28	17.1498585143	-0.030995
169	1214.32	2232.76	6.9006555934	-0.0177449
170	1485.31	2193.09	14.7901994577	-0.0503432
171	1045.73	2199.64	11.1803398875	-0.0257174
172	1202.19	2189.7	16.6666666667	-0.0229562
173	1432.46	2162.18	12.9099444874	-0.0462717
174	1462.17	2140.14	10	-0.0545235
175	1080	2131.33	16.2221421131	-0.0261259
176	1132.74	2145.74	13.4839972493	-0.0253567
177	1480	2088.35	16.5144564769	-0.0655273
178	999.44	2016.74	16.2221421131	-0.0176278
179	1010	1937.45	15.8113883008	-0.0182218
180	1180	2063.09	12.5656172488	-0.0109341
181	1413.73	1961.66	11.7444043903	-0.0150695
182	1470	1928.65	18.2574185835	-0.0165378
183	1225.34	1939.66	22.360679775	-0.0167886
184	978.54	1775.52	11.9522860933	-0.0238097
185	1257.26	1733.69	10.5409255339	-0.053564
186	1431.31	1717.17	12.9099444874	-0.0331321
187	1170.22	1845.98	22.360679775	-0.0208961
188	1048.79	7087.87	7.0710678119	-0.041266
190	1290.83	7074.21	6.593804734	-0.045828
191	1396.14	6993.86	9.7590007295	-0.0505721
192	1503.11	7047.73	9.5346258925	-0.0388047
193	1290	6869.99	6.9006555934	-0.0436768
194	1117.16	6680.24	13.2842232831	-0.0448257
195	1199.15	6757.42	6.7419986246	-0.043524
196	1016.68	6664.16	8.7705801931	-0.0460916
197	1526.62	2184.72	9.2582009977	-0.0422114
198	1562.35	2185.77	20	-0.0240863
199	1612.42	2179.56	14.5095250022	-0.0350072
200	1680.83	2167.39	5.9761430467	-0.0437943
201	1776.77	2158.12	15.8113883008	-0.0351871
202	1890.13	2143.83	15.8113883008	-0.0245391
203	1970.78	2132.61	21.3200716356	-0.01886
204	2025.95	2128.57	18.2574185835	-0.0241186
205	2015.71	2068.29	18.8982236505	-0.0289089
206	1580.73	2105.05	13.1876094679	-0.0297147
207	1711.43	2071.34	31.6227766017	-0.0269636
208	2010	1983.55	20.2919862478	-0.0187868
209	1517.44	1977.42	21.6024689947	-0.0206042
210	1625.64	1964.18	15.0755672289	-0.0404721
211	1970.81	1700.7	10	-0.0196053
212	1677.71	1701.72	13.4839972493	-0.0166673
213	1970	1637.44	15.0755672289	-0.0232044
214	1493.95	1716	9.7590007295	-0.0212016
215	745.97	3918.64	22.360679775	-0.0359534
216	942.88	3861.78	13.8013111868	-0.0374856
217	1187.14	3853.28	14.3838990446	-0.0293198
218	736.47	3799.61	21.0818510678	-0.0252889
219	1112.4	3607.92	15.8113883008	-0.0266018
220	907.07	3707.95	14.90711985	-0.0329944
221	1126.11	3530.02	14.1421356237	-0.0262311
223	682.73	3450.05	12.4034734589	-0.0375181
224	813.33	3437.37	11.4208048144	-0.0228177
225	1069.2	3362.64	9.5346258925	-0.0692849
226	1273.49	3550.02	13.1876094679	-0.0365951
227	736	3377.3	10	-0.0460384
228	702.17	3106.08	8.5539892277	-0.0472006
229	847.61	3337.96	10.5409255339	-0.0657542
230	933	3337.94	8.4515425473	-0.0519018
231	1000	3082.57	10	-0.0568321
233	743	2890.02	9.2253120803	-0.0639957
234	792.56	2857.29	11.1803398875	-0.0560326
235	941.9	2905.73	10.9544511501	-0.0418683
236	1372.37	4453.59	9.1287092918	-0.0353013
237	1632.68	4416.28	8.4515425473	-0.0285255
238	1791.42	4333.41	5.4232614455	-0.0476596
239	1681.66	4242.3	6.0858061945	-0.0535844
240	1325.71	4298.34	10.2597835209	-0.0593573
241	1294.19	4116.3	7.453559925	-0.0494552
242	1347.87	4005.45	7.453559925	-0.0485968
243	1410.9	4113.91	6.7419986246	-0.0610603
244	1626.82	4155.96	9.3250480824	-0.0413979
245	1686.36	4122.13	8.7705801931	-0.0250902
246	1263.84	3877.05	6.7419986246	-0.0252655
247	1356.09	3868.9	6.0858061945	-0.0511572
249	1494.93	4006.63	6.7419986246	-0.0485849
257	2237.17	3693.03	14.6385010942	-0.059711
261	2040.23	3527.98	7.6696498885	-0.040251
263	1912.91	3414.82	7.9056941504	-0.024264
264	1818.61	3320.41	8.1649658093	-0.0227584
265	1830.41	3279.13	6.7419986246	-0.0242102
266	1937.7	3279.18	8.94427191	-0.050808
267	2061.46	3254.41	6.0858061945	-0.0501449
269	1999.44	2592.98	12.9099444874	-0.0461008
270	2060	2590.87	10.3975048982	-0.0217914
271	1820	2528.95	12.9099444874	-0.0176223
272	1988.93	2499.61	14.6385010942	-0.0343586
273	1690	2487.05	12.7589457901	-0.0213027
274	1744.47	2412.58	15.8113883008	-0.0154979
275	2060.29	2405.24	14.6385010942	-0.0296867
276	1630	2324.42	11.0096376513	-0.0267418
277	1702.5	2331.72	15.1910905063	-0.0182506
278	1680.48	2223.69	11.1803398875	-0.0243188
279	1980	2418.84	16.6090959707	-0.0347925
281	1950.05	4273.72	13.130643286	-0.0176189
282	1985.53	4172.16	13.6082763488	-0.0210077
283	2236.41	4322.74	15.0755672289	-0.0149962
284	2158.08	3768.28	11.0431526075	-0.0235979
285	2209.52	3802.58	10.8465228909	-0.0513877
286	2137.3	3992.25	6.0858061945	-0.0304271
287	309.99	4591.95	13.2842232831	-0.0285215
288	671.06	4534.43	11.9522860933	-0.0366169
289	251.3	4505.09	12.5656172488	-0.0291666
290	458.11	4557.74	21.0818510678	-0.0319069
291	208	4402.32	12.5656172488	-0.0319565
292	185	4244.42	12.4034734589	-0.0313891
293	636.78	4281.05	13.6082763488	-0.0292923
294	776.33	4527.17	12.5656172488	-0.0367272
295	226.79	4064.52	17.4455675198	-0.0363836
296	422.59	4025.27	9.2582009977	-0.0343879
297	696.74	3997.15	14.4337567297	-0.023746
298	1858.24	4372.89	9.2582009977	-0.0444541
299	1995.42	1609.08	13.8013111868	-0.0229318
300	2267.39	1524.65	12.5656172488	-0.0308512
301	2462.2	1461.13	11.9522860933	-0.0370148
302	2435.09	1240.28	11.5470053838	-0.0290133
303	2001.68	1120.49	11.9522860933	-0.0416621
304	2428.87	1034	8.7705801931	-0.0468653
305	2233	1060.01	8.4515425473	-0.0400304
306	2008.97	1085.04	11.9522860933	-0.050208
307	2371.56	1047.45	7.9056941504	-0.0421494
308	1952.69	1202.77	8.7705801931	-0.0441817
309	614.92	2850.9	10.5409255339	-0.0744573
310	767.09	2827.48	12.5656172488	-0.0513474
311	860.68	2815.7	10.5409255339	-0.0520444
312	927.77	2801.9	10.5409255339	-0.0624034
313	1043.7	2778.47	11.9522860933	-0.0480902
314	1047.98	2688.07	8.4515425473	-0.0296514
315	591.51	2610.42	8.3045479854	-0.0435457
316	844.76	2617.88	4.5643546459	-0.0437125
317	983.06	2402.94	15.8113883008	-0.0312162
318	721.34	2579.5	4.3852900965	-0.0416855
319	576.62	2381.59	14.5095250022	-0.0161496
320	777.71	2365.71	18.2574185835	-0.0194792
321	878.77	2324.15	16.1514570617	-0.0162412
322	940.52	2318.88	12.3091490979	-0.022074
323	1003.3	2302.88	16.1514570617	-0.0273141
324	793.67	2513.6	11.1803398875	-0.0251123
325	54.22	3467.85	22.360679775	-0.0321821
326	24.95	3380.12	14.6385010942	-0.0417709
327	213	3430.94	14.5643816251	-0.0176223
328	312.88	3424.73	14.3486010796	-0.0188759
329	396.01	3424.76	8.7705801931	-0.0531241
330	449.86	3389.32	5.9761430467	-0.0523912
331	526.88	3370.84	6.3245553203	-0.0360619
332	619.22	3377.04	8.8852331664	-0.0374898
333	1.91	3255.42	14.5095250022	-0.0258883
334	85	3250.76	16.2697843364	-0.027237
335	248.23	3240	10.2597835209	-0.0375786
336	602.27	3153.73	6.593804734	-0.0466003
337	15.73	3081.46	10.1273936708	-0.0445057
338	306.68	2885.95	8.3526906958	-0.0595104
339	208.2	2902.91	6.4549722437	-0.0555613
340	557.64	2889.01	5.7735026919	-0.0597554
341	526.87	2918.21	5.9761430467	-0.0533363
342	392.91	2801.3	5.1298917604	-0.0529721
343	445	2751.99	6.9006555934	-0.0486161
344	545.31	2782.77	5.0636968354	-0.0443723
345	536.08	2704.3	6.9843029577	-0.0459213
346	556.32	2326.21	11.1803398875	-0.0211663
347	853.83	2279.95	14.5643816251	-0.0182342
348	815.98	2240.97	16.6666666667	-0.0286478
349	1001.01	2259.94	13.3333333333	-0.0268038
350	970.51	2161.11	20.5195670417	-0.0219852
351	531.07	2253.61	17.8376517003	-0.0152424
352	853.85	2147.46	22.360679775	-0.0191931
353	500.59	1856.26	22.360679775	-0.0133641
354	692	2071.79	14.90711985	-0.0144362
355	715	1903.55	26.4575131106	-0.011577
356	860	1814.19	21.0818510678	-0.0256859
357	960.04	1940.37	13.9686059154	-0.0127367
358	929.5	1779.47	8.7705801931	-0.0330163
359	752.94	1806.81	13.6082763488	-0.0289603
360	1492.66	1636.93	10	-0.0295154
361	1645.05	1618.67	12.5656172488	-0.0144612
362	1839.77	1605.93	14.1421356237	-0.0150036
363	1896.15	1555.17	7.453559925	-0.0347985
364	1942.76	1392.86	15.8113883008	-0.0327907
365	1434.83	1195.34	9.1287092918	-0.0334802
366	1611.21	1178.41	10.2597835209	-0.0467638
367	1876.41	1298.31	7.2547625011	-0.0358203
368	386.33	3973.55	14.1421356237	-0.0332619
369	690.83	3909.32	15.1185789204	-0.0229294
370	127.38	3873.15	10.3509833901	-0.0331367
371	140.82	3782	8.7705801931	-0.0186965
372	233	3773.71	6.4549722437	-0.0195017
373	642.12	3738.43	10.5409255339	-0.0303031
374	693.91	3746.75	4.8224282217	-0.0275858
375	43.46	3553.12	10	-0.036755
376	136.67	3543.79	9.3933643663	-0.0338105
377	663	6632.06	13.4839972493	-0.0557526
378	736.41	6623.17	9.1287092918	-0.0506588
379	943.98	6606.72	9.1287092918	-0.0477458
380	948	6518.12	8.7705801931	-0.0417232
381	494.62	6471.25	12.5656172488	-0.0333257
382	910	6430.78	13.8013111868	-0.0204374
383	485.75	6359.9	16.5144564769	-0.02762
384	448	6180.19	15.3392997769	-0.0156076
385	679.43	6144.66	18.2574185835	-0.0258221
386	721.22	6362.47	7.9893546194	-0.0183269
387	1114.79	2750.84	7.0710678119	-0.0468419
388	1158.8	2697.69	10.2597835209	-0.0663502
389	1220	2560.5	14.1421356237	-0.040559
390	1347.14	2747.76	8.3045479854	-0.0751154
391	1361.48	2663.83	4.4280744277	-0.0836995
392	1231.47	2678.24	6.593804734	-0.0633772
393	1507.92	2526.64	9.5346258925	-0.0369314
394	1165.97	2430.46	12.9099444874	-0.0333971
395	1083.05	2488.79	6.6666666667	-0.0186821
396	1071.79	2450.94	16.3299316186	-0.013992
397	1293.93	2450.87	17.1498585143	-0.0130174
398	1150	2351.59	17.7704663328	-0.0223913
399	1347.18	2560.45	11.1803398875	-0.0836131
400	1249.89	2505.15	12.9099444874	-0.0146711
401	1110	2279.94	12.2474487139	-0.0208211
402	1164.91	2288.09	16.3299316186	-0.0206646
403	1258.07	2282.02	14.1421356237	-0.0228925
404	1436.24	2254.32	17.3205080757	-0.0238984
405	1447.47	2337.3	16.9030850946	-0.0182083
406	556	6569.95	11.1803398875	-0.0493875
407	625.91	6648.54	12.2474487139	-0.053974
408	897.69	6296.25	14.4337567297	-0.016296
409	933.02	6254.07	16.7332005307	-0.0163933
410	899.96	6192.53	18.2574185835	-0.0116623
411	808	6148.11	20	-0.0212176
412	906.79	6149.18	17.1498585143	-0.0174444
413	1081.12	6594.17	6.3245553203	-0.0381526
414	1035.55	6532.72	8.7705801931	-0.0174341
415	1008.23	6440.36	11.4208048144	-0.0171741
416	1093.7	6488.24	14.5643816251	-0.0274777
417	1286.24	6501.95	17.4455675198	-0.0253726
418	1495.95	6480.22	14.9829835453	-0.0397268
419	1470	6463.15	14.7042924419	-0.0299439
420	1370	6495.12	15.8113883008	-0.0257021
421	1210	6399.31	14.7901994577	-0.0245707
422	1059.51	6409.58	14.3838990446	-0.0186856
423	1210	6462.01	18.6500961648	-0.0210427
424	1010	6340.06	19.518001459	-0.0201103
425	1482.27	6294.26	17.92842914	-0.0195584
426	1238.4	6113.07	17.3205080757	-0.0221172
427	1314.73	6115.35	13.1876094679	-0.0213187
428	1445.77	6105.01	16.101529718	-0.0214203
429	1404.02	6332.48	14.90711985	-0.0261977
430	1477.12	6381.22	15.8113883008	-0.0178446
431	1285.69	6316.1	14.7441956155	-0.0127243
432	994.5	6242.23	17.6166065854	-0.0155188
433	1040	6290.96	14.6385010942	-0.0241337
434	1407.49	6162.11	16.9030850946	-0.0214199
435	1267.11	6223	17.4455675198	-0.0133696
436	1021.23	6132.6	15.8113883008	-0.0181206
437	1436.54	6210.29	20	-0.0273749
438	512.02	6696.33	12.7342907993	-0.0533617
439	923.49	4514.83	15.0268576759	-0.0301625
440	855.58	4465.15	11.1803398875	-0.0352494
441	956.15	4448.24	13.1876094679	-0.0272804
442	1072.42	4482.18	10.9544511501	-0.026589
443	1176.92	4453.44	13.3630620956	-0.0311552
444	1290	4449.51	10.8465228909	-0.0349182
445	820.3	4384.2	15.4919333848	-0.0275545
446	829.47	4260.09	10.7417231106	-0.0321155
447	1235.73	4245.7	12.5	-0.0332521
448	790.26	4170.01	13.4839972493	-0.0313981
449	961.36	4065.42	12.9099444874	-0.0271791
450	1229.16	4137.27	10.5409255339	-0.0419629
451	875.18	4061.58	11.4208048144	-0.0277386
452	790.25	3968.77	16.5144564769	-0.0273606
453	868.68	3955.71	15.8113883008	-0.0512649
454	919.57	3942.66	16.2221421131	-0.0480858
455	1086.77	3928.35	12.9099444874	-0.0344256
456	1217.43	3913.91	14.5643816251	-0.0303175
457	1276.19	4311	11.7851130198	-0.026676
458	1233.37	4017.9	10.7417231106	-0.0376212
459	2153.93	2640.07	11.2986536573	-0.0306802
460	2501.3	2598.88	10.0843896818	-0.0227182
461	2610.66	2542.6	12.4034734589	-0.0465399
462	2150.37	2571.56	18.2574185835	-0.0325081
463	2286.05	2577.37	21.6024689947	-0.0291846
464	2383.42	2564.61	17.1498585143	-0.0306104
465	2619.92	2473.11	14.90711985	-0.0152933
466	2139.17	2510.3	18.7082869339	-0.0202784
467	2504.25	2522.12	13.6082763488	-0.0194184
468	2275.58	2490.69	22.360679775	-0.0211951
469	2605.33	2444.61	11.6774841624	-0.0249667
470	2278.53	2130.57	10.9544511501	-0.0294266
471	2608.29	2410.2	12.5	-0.0296987
472	2106.84	2478.93	17.7704663328	-0.0301215
473	2129.39	2460.26	20.5195670417	-0.0325003
474	2227.52	2441.67	16.9030850946	-0.0212498
475	2443.42	2430.84	20.4124145232	-0.0269194
476	2522.92	2411.2	19.0692517849	-0.0238228
477	2117.6	2390.66	19.1942973987	-0.0259795
478	2411.01	2116.77	15.8113883008	-0.0257972
479	2323.66	2364.1	15.8113883008	-0.0310484
480	2586.72	2315.06	12.3091490979	-0.0271893
481	2198.05	2423.02	21.4834462212	-0.0370365
482	2584.71	2224.77	18.2574185835	-0.0347194
483	2112.72	2358.17	16.3299316186	-0.0182945
484	2113.66	2160.91	13.4839972493	-0.0311281
485	2084.25	2226.73	17.3205080757	-0.027064
486	2100.91	2305.18	15.8113883008	-0.0218094
487	2180.44	2158.06	11.1803398875	-0.028655
488	2537.65	2115.87	17.6776695297	-0.0232672
489	2572	2176.71	15.4303349962	-0.0360225
490	2357.06	2186.51	16.2221421131	-0.0267328
491	2318.76	2212.04	16.6666666667	-0.0218715
492	450.3	6145.34	14.1421356237	-0.0197169
493	921.31	6098.23	16.2221421131	-0.0068973
494	768.23	5908.84	19.1942973987	-0.0214363
495	413.95	5869.52	23.5702260396	-0.0329201
496	623	4977.28	14.3838990446	-0.0340582
497	791.8	4991.99	14.4337567297	-0.0363836
498	277.52	4905.6	13.0930734142	-0.0289414
499	300.15	5033.22	13.0930734142	-0.0260392
500	796.72	4856.55	14.1421356237	-0.0304681
501	251.08	4704.45	15.0268576759	-0.0406187
502	259.91	4636.74	16.9030850946	-0.0407079
503	543.49	4613.2	13.6930639376	-0.0367894
504	636.7	4606.32	13.9443337756	-0.0311516
505	774.11	4596.43	14.1421356237	-0.0227786
506	463	4624	12.171612389	-0.0372621
507	883.03	4949.75	13.8013111868	-0.0257519
508	1140.17	4946.85	14.1421356237	-0.0213187
509	1332.49	4850.59	11.7851130198	-0.0246577
510	848.72	4771.15	14.3838990446	-0.0397349
511	1026.35	4832.92	16.2221421131	-0.0226406
512	1175.49	4787.78	13.6930639376	-0.0272994
513	865.37	4634.76	18.8982236505	-0.0297077
514	1008.67	4541.56	10.2597835209	-0.0301556
515	1297.2	4516.01	14.1421356237	-0.0389676
516	1486.57	4959.62	14.1421356237	-0.0134673
517	1408.06	4889.89	17.3205080757	-0.0171994
518	1520.94	4758.37	17.1498585143	-0.0170199
519	1796.7	4563.12	15.4303349962	-0.030287
520	1866.36	4930.11	15.4919333848	-0.0140237
521	1859.53	4736.78	15.0755672289	-0.0269004
522	1459.14	4652.42	16.3299316186	-0.0187868
523	1534.69	4607.26	12.4034734589	-0.0209051
524	1414.96	4492.41	9.1287092918	-0.0309628
525	1583.78	4468.93	20	-0.0307081
526	1714.3	4475.79	16.9030850946	-0.0282067
527	1810.44	4438.42	11.9522860933	-0.0535609
528	1937.01	4819.26	13.6930639376	-0.023767
529	2143.13	4893.86	13.1876094679	-0.0314001
530	2278.58	4862.46	12.4034734589	-0.0262566
531	2336.43	4784.91	15.5699788832	-0.0422295
532	2321.74	4693.57	10.8465228909	-0.0470234
533	2391.41	4876.16	10.6904496765	-0.0472046
534	1861.48	4439.42	11.4208048144	-0.04801
535	2337.45	4522.91	13.8013111868	-0.0187624
536	2278.56	4400.14	11.6774841624	-0.0282246
537	2245.19	4738.75	8.3526906958	-0.0498682
538	1959.61	1059.69	6.593804734	-0.0456404
539	1941.94	948.73	5.3452248382	-0.0464651
540	1951.73	813.35	5.9761430467	-0.0515787
541	1898.74	732.86	7.9056941504	-0.0538958
542	1940.95	656.26	7.0710678119	-0.0832919
543	1944.89	606.21	4.116934848	-0.0525407
544	1997.87	554.23	7.9056941504	-0.045517
545	2147.06	615.09	9.1287092918	-0.0446815
546	2127.44	553.22	5.2704627669	-0.0466776
547	2262.83	521.83	5.6796183425	-0.0555275
548	2349.2	508.1	5.9761430467	-0.0529897
549	2400.24	986.02	8.4515425473	-0.0477323
550	2374.72	804.44	11.1803398875	-0.0333279

